model,fold,metric,value,dataset,task
LogisticRegression,1,roc_auc,0.8255048786022237,PD_SPEECH_FEATURES,N/A
LogisticRegression,2,accuracy,0.8278145695364238,PD_SPEECH_FEATURES,N/A
LogisticRegression,2,precision,0.8918918918918919,PD_SPEECH_FEATURES,N/A
LogisticRegression,2,recall,0.8761061946902655,PD_SPEECH_FEATURES,N/A
LogisticRegression,2,f1,0.8839285714285714,PD_SPEECH_FEATURES,N/A
LogisticRegression,2,roc_auc,0.8663251047973918,PD_SPEECH_FEATURES,N/A
LogisticRegression,3,accuracy,0.8344370860927153,PD_SPEECH_FEATURES,N/A
LogisticRegression,3,precision,0.8728813559322034,PD_SPEECH_FEATURES,N/A
LogisticRegression,3,recall,0.911504424778761,PD_SPEECH_FEATURES,N/A
LogisticRegression,3,f1,0.8917748917748918,PD_SPEECH_FEATURES,N/A
LogisticRegression,3,roc_auc,0.8586399627387051,PD_SPEECH_FEATURES,N/A
LogisticRegression,4,accuracy,0.8344370860927153,PD_SPEECH_FEATURES,N/A
LogisticRegression,4,precision,0.8793103448275862,PD_SPEECH_FEATURES,N/A
LogisticRegression,4,recall,0.9026548672566371,PD_SPEECH_FEATURES,N/A
LogisticRegression,4,f1,0.8908296943231441,PD_SPEECH_FEATURES,N/A
LogisticRegression,4,roc_auc,0.9017233348858873,PD_SPEECH_FEATURES,N/A
LogisticRegression,5,accuracy,0.8278145695364238,PD_SPEECH_FEATURES,N/A
LogisticRegression,5,precision,0.8909090909090909,PD_SPEECH_FEATURES,N/A
LogisticRegression,5,recall,0.875,PD_SPEECH_FEATURES,N/A
LogisticRegression,5,f1,0.8828828828828829,PD_SPEECH_FEATURES,N/A
LogisticRegression,5,roc_auc,0.8841575091575092,PD_SPEECH_FEATURES,N/A
SVM_RBF,1,accuracy,0.8421052631578947,PD_SPEECH_FEATURES,N/A
SVM_RBF,1,precision,0.8345864661654135,PD_SPEECH_FEATURES,N/A
SVM_RBF,1,recall,0.9823008849557522,PD_SPEECH_FEATURES,N/A
SVM_RBF,1,f1,0.9024390243902439,PD_SPEECH_FEATURES,N/A
SVM_RBF,1,roc_auc,0.8658951667801226,PD_SPEECH_FEATURES,N/A
SVM_RBF,2,accuracy,0.8741721854304636,PD_SPEECH_FEATURES,N/A
SVM_RBF,2,precision,0.8615384615384616,PD_SPEECH_FEATURES,N/A
SVM_RBF,2,recall,0.9911504424778761,PD_SPEECH_FEATURES,N/A
SVM_RBF,2,f1,0.9218106995884774,PD_SPEECH_FEATURES,N/A
